text_data,source_language,target_language,target_text,final_text_data
"টস জিতে আগে ব্যাট করবে বাংলাদেশ

 সিলেটে আজ থেকে শুরু হয়েছে বাংলাদেশ এবং নিউজিল্যান্ডের মধ্যকার প্রথম টেস্ট। ম্যাচে আগে ব্যাট করবে বাংলাদেশ। সাকিব-লিটন না থাকায় নাজমুল হোসেন শান্ত টেস্টে নেতৃত্ব দিচ্ছেন। টসে জিতে ব্যাট করার সিদ্ধান্ত নিয়েছেন অধিনায়ক শান্ত।",Bangla,English,"Bangladesh to bat first after winning the toss

The first Test between Bangladesh and New Zealand has started today in Sylhet. Bangladesh will bat first in the match. With Shakib and Liton absent, Najmul Hossain Shanto is leading the Test team. Captain Shanto has decided to bat after winning the toss.",
"সুতরাং, আমরা চাইলেই কোনো কিছু লুকাতে পারব না। যদি ভেবে থাকি যে লুকাতে পারব, তাহলে সেটা কেবল নিজেদেরই বোকা বানানো হবে। অবাধ ও সুষ্ঠু নির্বাচন আয়োজনের জন্য আমাদেরকে অবশ্যই আন্তরিকভাবে কাজ করতে হবে। এর ওপর আমাদের ভবিষ্যৎ নির্ভর করছে।",Bangla,English,"Therefore, even if we want to, we cannot hide anything. If we think we can, we will only be fooling ourselves. We must work sincerely to organise free and fair elections. Our future depends on this.",
 তবে দ্বিতীয়ার্ধে নিজেদের স্বরূপে ফিরেছিল তারা। ম্যাচের ৪৮ মিনিটে ডি-বক্সের অনেক বাইরে থেকে শট নেন চুয়ামেনি। একজনের গায়ে লাগার পর গোলরক্ষকের নাগালের অনেক বাইরে ক্রসবার আর পোস্টের কোনা দিয়ে বল জড়ায় জালে। লিড পায় রিয়াল। শেষ পর্যন্ত এই একটি গোলই ম্যাচের ফল নির্ধারণ করে দেয়।।,Bangla,English,"However, in the second half, they returned to their true form. In the 48th minute of the match, Tchouaméni took a shot from well outside the penalty box. After deflecting off a player, the ball went far beyond the goalkeeper’s reach and into the net through the corner between the crossbar and the post. Real took the lead. In the end, this single goal decided the outcome of the match.",
"সেমিফাইনালে মেসিকে সামলানো গুরুত্বপূর্ণ: কানাডা কোচ

 বুধবার (৯ জুলাই) ভোরে কোপা আমেরিকার ফাইনালে ওঠার লড়াইয়ে এবারের আসরের প্রথম সেমিতে মুখোমুখি হবে আর্জেন্টিনা ও কানাডা। টুর্নামেন্টের উদ্বোধনী ম্যাচও খেলেছে এই দুই দল। প্রথম রাউন্ডে ২-০ গোলে জিতেছিল আলবিসেলেস্তেরা। গ্রুপ পর্বের সেই ম্যাচে প্রথমার্ধে আর্জেন্টিনার আক্রমণভাগ সামলে রাখতে পারলেও দ্বিতীয়ার্ধে আর পারেনি প্রথমবার কোপা আমেরিকা খেলতে আসা কানাডার রক্ষণভাগ। দ্বিতীয়ার্ধের চতুর্থ মিনিটে আলভারেজ ও নির্ধারিত সময় শেষ হবার ২ মিনিট আগে আর্জেন্টিনার পক্ষে দুটি গোল করেন লাউতারো মার্টিনেজ। দ্বিতীয় গোলটিতে সহায়তা করেন মেসি। এছাড়া পুরো ম্যাচেই বেশ কয়েকবার কানাডার রক্ষণে বিপজ্জনক হয়ে ওঠেন লিও।।",Bangla,English,"Handling Messi in the Semi-final Is Important: Canada Coach

Argentina and Canada will face each other in the first semi-final of this year's Copa America in the fight to reach the final early on Wednesday (9 July). These two teams also played the opening match of the tournament. The Albiceleste won 2-0 in the first round. In that group-stage match, although Canada's defence, playing in the Copa America for the first time, managed to keep Argentina's attack in check in the first half, it could not do so in the second half. Argentina's two goals came from Alvarez in the fourth minute of the second half and from Lautaro Martinez two minutes before the end of regulation time. Messi assisted the second goal. Besides, Leo became dangerous against Canada's defence several times throughout the match.","সেমিফাইনালে মেসিকে সামলানো গুরুত্বপূর্ণ: কানাডা কোচ

 বুধবার (৯ জুলাই) ভোরে কোপা আমেরিকার ফাইনালে ওঠার লড়াইয়ে এবারের আসরের প্রথম সেমিতে মুখোমুখি হবে আর্জেন্টিনা ও কানাডা। টুর্নামেন্টের উদ্বোধনী ম্যাচও খেলেছে এই দুই দল। প্রথম রাউন্ডে ২-০ গোলে জিতেছিল আলবিসেলেস্তেরা। গ্রুপ পর্বের সেই ম্যাচে প্রথমার্ধে আর্জেন্টিনার আক্রমণভাগ সামলে রাখতে পারলেও দ্বিতীয়ার্ধে আর পারেনি প্রথমবার কোপা আমেরিকা খেলতে আসা কানাডার রক্ষণভাগ। দ্বিতীয়ার্ধের চতুর্থ মিনিটে আলভারেজ ও নির্ধারিত সময় শেষ হবার ২ মিনিট আগে আর্জেন্টিনার পক্ষে দুটি গোল করেন লাউতারো মার্টিনেজ। দ্বিতীয় গোলটিতে সহায়তা করেন মেসি। এছাড়া পুরো ম্যাচেই বেশ কয়েকবার কানাডার রক্ষণে বিপজ্জনক হয়ে ওঠেন লিও।।"
"ডিমেরিট পয়েন্ট পেলেন বুমরাহ

ওলি পোপের সাথে অপ্রীতিকর সংঘর্ষের কারণে ডিমেরিট পয়েন্ট পেলেন বুমরাহ। ইংল্যান্ডের বিপক্ষে হায়দরাবাদ টেস্টে আইসিসির আচরণবিধি ভাঙার শাস্তি হিসাবে ভারতের পেসার জাসপ্রিত বুমরাহ’র নামের পাশে যোগ হয়েছে একটি ডিমেরিট পয়েন্ট। মঙ্গলবার (৩০ জানুয়ারি) এক প্রতিবেদনে ভারতীয় সংবাদ মাধ্যম টাইমস অব ইন্ডিয়া এ তথ্য জানায়। প্রতিবেদনে বলা হয়, রোববার হায়দরাবাদ টেস্টের চতুর্থদিনে সিঙ্গেল নেয়ার সময় ইংলিশ ব্যাটার ওলি পোপের পথে ইচ্ছাকৃতভাবে দাঁড়ান বুমরাহ। ফলে অপ্রীতিকর সংঘর্ষ ঘটে।।",Bangla,English,"Bumrah receives a demerit point

 Bumrah has received a demerit point due to an unpleasant clash with Ollie Pope. In the Hyderabad Test against England, Indian pacer Jasprit Bumrah was given a demerit point for violating the ICC Code of Conduct. This information was reported by Indian news outlet Times of India on Tuesday (January 30). According to the report, on Sunday, the fourth day of the Hyderabad Test, Bumrah deliberately stood in the way of English batter Ollie Pope while he was taking a single. As a result, an unpleasant collision occurred.",
"জ্যাকলিনকে আবারও আদালতে তলব

জ্যাকলিন ফার্নান্দেস। জনপ্রিয় বলিউড অভিনেত্রী জ্যাকলিন ফার্নান্দেজকে জিজ্ঞাসাবাদের জন্য আবারও তলব করেছে দিল্লি পুলিশ। সম্প্রতি ২১৫ কোটি রুপি মানি লন্ডারিং মামলার চার্জশিটে জ্যাকলিনের নাম দেয়া হয়েছে। এ ব্যাপারে জিজ্ঞাসাবাদের জন্য দিল্লি পুলিশের অর্থনৈতিক অপরাধ দমন শাখা একাধিকবার তাকে তলব করেছে।।",Bangla,English,"Jacqueline summoned to court again

Jacqueline Fernandez. Popular Bollywood actress Jacqueline Fernandez has been summoned again by the Delhi Police for questioning. Recently, her name has been included in the charge sheet of a 215-crore-rupee money laundering case. In this regard, the Economic Offences Wing of Delhi Police has summoned her multiple times for questioning.","জ্যাকলিনকে আবারও আদালতে তলব

জ্যাকলিন ফার্নান্দেস। জনপ্রিয় বলিউড অভিনেত্রী জ্যাকলিন ফার্নান্দেজকে জিজ্ঞাসাবাদের জন্য আবারও তলব করেছে দিল্লি পুলিশ। সম্প্রতি ২১৫ কোটি রুপি মানি লন্ডারিং মামলার চার্জশিটে জ্যাকলিনের নাম দেয়া হয়েছে। এ ব্যাপারে জিজ্ঞাসাবাদের জন্য দিল্লি পুলিশের অর্থনৈতিক অপরাধ দমন শাখা একাধিকবার তাকে তলব করেছে।।"
"চীনে স্কুল হোস্টেলে অগ্নিকাণ্ডে নিহত ১৩

 মধ্য চীনের হেনান প্রদেশে একটি স্কুলের হোস্টেলে অগ্নিকাণ্ডে ১৩ জন নিহতের ঘটনা ঘটেছে। এতে আহত হয়েছে আরও ১ জন। শুক্রবার (১৯ জানুয়ারি) স্থানীয় সময় রাত ১১টার দিকে প্রদেশের ইয়ানশানপু গ্রামে এ ঘটনা ঘটে। আহত ব্যক্তিকে হাসপাতাললে চিকিৎসা দেয়া হচ্ছে।।",Bangla,English,"13 killed in school hostel fire in China

A fire in a school hostel in China's Henan province has killed 13 people. One other person was injured. The incident occurred around 11 pm local time on Friday (January 19) in the village of Yanshanpu in the province. The injured person is being treated in the hospital.",
"ছিনতাইকৃত জাহাজসহ সোমালিয়ান দস্যুদের আটকে দিলো ভারতীয় নৌবাহিনী

 আন্তর্জাতিক জলসীমায় সোমালীয় জলদস্যুদের ছিনতাই করা একটি কার্গো জাহাজ আটকে দিয়েছে ভারতীয় নৌবাহিনী। তাদের আত্মসমপর্ণের জন্য আহ্বান জানানো হয়েছে।খবর রয়টার্সের। শনিবার (১৬ মার্চ) ভারতীয় নৌবাহিনীর মুখপাত্র এ তথ্য জানান। তিনি জানান, গত ১৪ ডিসেম্বর মাল্টিজ পতাকাবাহী রুয়েন কার্গো জাহাজ ছিনতাই করে সোমালিয়ান জলদস্যুরা। এরপর গতকাল শুক্রবার আন্তর্জাতিক জলসীমায় ভারতীয় নৌবাহিনীর জাহাজে গুলি চালালে ভারতীয় নৌবাহিনী তাদের জাহাজটি আটকে দেয়। এ সময় জাহাজে থাকা বেসামরিক নাগরিকদের ছেড়ে দেয়ারও আহ্বান জানানো হয় নৌবাহিনীর পক্ষ থেকে।।",Bangla,English,"Indian Navy Detains Somali Pirates Along With Hijacked Ship

The Indian Navy has detained a cargo ship hijacked by Somali pirates in international waters. They have been called upon to surrender. This was reported by Reuters. On Saturday (16 March), the spokesperson for the Indian Navy gave this information. He said that Somali pirates hijacked the Maltese-flagged Ruen cargo ship on 14 December. Then, after they opened fire on an Indian Navy ship in international waters yesterday, Friday, the Indian Navy detained their ship. At that time, the Navy also called for the civilians on board the ship to be released.","ছিনতাইকৃত জাহাজসহ সোমালিয়ান দস্যুদের আটকে দিলো ভারতীয় নৌবাহিনী

 আন্তর্জাতিক জলসীমায় সোমালীয় জলদস্যুদের ছিনতাই করা একটি কার্গো জাহাজ আটকে দিয়েছে ভারতীয় নৌবাহিনী। তাদের আত্মসমপর্ণের জন্য আহ্বান জানানো হয়েছে।খবর রয়টার্সের। শনিবার (১৬ মার্চ) ভারতীয় নৌবাহিনীর মুখপাত্র এ তথ্য জানান। তিনি জানান, গত ১৪ ডিসেম্বর মাল্টিজ পতাকাবাহী রুয়েন কার্গো জাহাজ ছিনতাই করে সোমালিয়ান জলদস্যুরা। এরপর গতকাল শুক্রবার আন্তর্জাতিক জলসীমায় ভারতীয় নৌবাহিনীর জাহাজে গুলি চালালে ভারতীয় নৌবাহিনী তাদের জাহাজটি আটকে দেয়। এ সময় জাহাজে থাকা বেসামরিক নাগরিকদের ছেড়ে দেয়ারও আহ্বান জানানো হয় নৌবাহিনীর পক্ষ থেকে।।"
"তবে একই শাখার সাবেক এক সদস্য নাম প্রকাশ না করার শর্তে বলেন, অনেক ক্ষেত্রেই ভবন নির্মাণের সময় অনুমোদিত নকশার বিচ্যুতি ঘটে। অনেকে ডানে-বাঁয়ে এক-দেড়-দুই ফুট পর্যন্ত বাড়িয়ে ফেলেন। আটতলার অনুমোদন নিয়ে সাড়ে আট বা নয়তলা বানিয়ে ফেলেন। কিন্তু নির্মাণ শেষে ব্যবহার সনদ না নেওয়া হলেও এসব ভবন মালিকের বিরুদ্ধে কোনো ব্যবস্থা নেওয়া হয় না।",Bangla,English,"However, a former member of the same branch, on condition of not disclosing his name, said that in many cases deviations from the approved design occur during the construction of buildings. Many extend them by as much as one, one and a half, or two feet to the left and right. They take approval for eight storeys and end up building eight and a half or nine storeys. But even if a use certificate is not taken after construction is completed, no action is taken against the owners of these buildings.","তবে একই শাখার সাবেক এক সদস্য নাম প্রকাশ না করার শর্তে বলেন, অনেক ক্ষেত্রেই ভবন নির্মাণের সময় অনুমোদিত নকশার বিচ্যুতি ঘটে। অনেকে ডানে-বাঁয়ে এক-দেড়-দুই ফুট পর্যন্ত বাড়িয়ে ফেলেন। আটতলার অনুমোদন নিয়ে সাড়ে আট বা নয়তলা বানিয়ে ফেলেন। কিন্তু নির্মাণ শেষে ব্যবহার সনদ না নেওয়া হলেও এসব ভবন মালিকের বিরুদ্ধে কোনো ব্যবস্থা নেওয়া হয় না।"
"মুজিবনগর সরকারের পক্ষে প্রায় সব কাজই তখন করছিলেন প্রধানমন্ত্রী তাজউদ্দীন আহমদ। তিনি বিষয়টিকে কীভাবে দেখেন বা তার অন্য কোনো পরামর্শ বা পরিকল্পনা আছে কিনা, তা আমরা জানতে চাইছিলাম। এত বড় একটি কাজ প্রবাসী সরকারের প্রধানমন্ত্রীকে না জানিয়ে আমরা করতে চাইনি। আর এই কাজটি যে মুক্তিযোদ্ধারা করছে সেটা জানিয়ে রাখাও একটি উদ্দেশ্য ছিল।'",Bangla,English,"'At that time, Prime Minister Tajuddin Ahmed was handling almost all the work on behalf of the Mujibnagar Government. We wanted to know how he viewed the matter, or whether he had any other advice or plans. We did not want to carry out such a significant undertaking without informing the Prime Minister of the government-in-exile. Another objective was to keep him informed that it was the freedom fighters who were performing this task.'","মুজিবনগর সরকারের পক্ষে প্রায় সব কাজই তখন করছিলেন প্রধানমন্ত্রী তাজউদ্দীন আহমদ। তিনি বিষয়টিকে কীভাবে দেখেন বা তার অন্য কোনো পরামর্শ বা পরিকল্পনা আছে কিনা, তা আমরা জানতে চাইছিলাম। এত বড় একটি কাজ প্রবাসী সরকারের প্রধানমন্ত্রীকে না জানিয়ে আমরা করতে চাইনি। আর এই কাজটি যে মুক্তিযোদ্ধারা করছে সেটা জানিয়ে রাখাও একটি উদ্দেশ্য ছিল।'"
